_id,LOC
100290,4601
100421,164
100527,1040
100609,64
100631,97
100701,602
100757,202
100935,159
101007,195
101057,840
101185,3644
101245,86
101276,54
101629,1384
101646,425
101797,196
101806,3996
101822,79
101905,340
101928,141
102089,1887
102169,133
102248,3896
102268,201
102373,3241
102394,50
102415,206
102433,306
102439,223
102512,224
102525,3895
102565,129
102570,95
102636,289
102648,63
102710,3552
102729,368
102764,604
102778,287
102809,2748
102851,959
102886,606
102982,490
103032,3864
103037,103
103042,3752
103122,161
103218,3939
103270,3939
103271,4601
103277,2668
103359,3752
103374,156
103466,213
103491,654
103547,257
103562,579
103581,801
103662,106
103711,610
103798,294
103836,566
103862,2632
103877,189
104005,228
104039,600
104057,2745
104116,65
104119,298
104248,64
104320,860
104327,40
104361,417
104410,619
104478,249
104505,167
104509,200
104518,3945
104557,259
104580,1040
104581,313
104594,156
104670,3976
104678,2698
104719,2750
104787,3371
104796,166
104947,101
105100,125
105112,202
105124,174
105147,142
105202,179
105214,601
105330,611
105332,202
105343,2750
105352,134
105386,96
105410,3928
105420,639
105496,3743
105527,292
105532,381
105627,677
105641,381
105648,228
105670,508
105682,57
105683,391
105684,344
105702,153
105769,186
105787,486
105802,327
105804,259
105814,239
105838,589
105912,381
105949,623
105958,192
106021,3754
106069,380
106074,244
106109,65
106142,737
106184,180
106234,359
106249,25
106260,168
106296,107
106333,525
106352,641
106378,292
106382,3570
106405,381
106474,81
106481,4601
106538,349
106568,279
106617,142
106644,92
106649,86
106701,175
106727,623
106860,222
106876,2668
106915,299
106964,73
10818,485
108885,70
109076,861
109449,319
110529,697
110687,161
11073,17
111504,273
11168,598
111791,467
111822,384
111907,145
112052,318
11216,86
112244,331
112700,153
112703,160
113032,540
11307,224
113083,303
113128,403
113178,234
113299,274
113520,191
113521,323
113532,396
11355,191
113697,259
113704,539
113715,1010
113717,736
113765,213
113912,588
114212,69
114269,391
114401,379
11441,253
114719,204
114757,755
114759,343
114827,237
114861,594
11490,60
114973,510
115102,183
115174,193
115323,125
115508,212
11553,81
115768,563
115899,276
116199,280
116487,91
116544,370
116614,469
116765,128
116926,217
117147,368
117271,639
117439,190
117620,177
117745,180
117894,515
118204,191
118382,1011
118468,58
118563,243
118594,1077
118613,663
118856,154
118964,361
118969,174
118987,384
11901,268
119012,450
119053,351
119421,159
119574,154
119650,205
119718,312
119909,211
119920,157
120030,626
120045,371
120053,422
120115,83
12014,180
120156,177
120225,229
120337,360
120364,994
120381,220
120474,340
120528,222
120641,160
120730,346
120740,93
120803,219
120848,318
120951,371
120990,458
121081,372
121222,448
121328,232
121357,1033
121449,121
121450,368
121666,175
12186,360
12250,151
