_id,LOC
101193,1040
101281,97
102293,64
103045,602
103404,164
103624,195
104897,959
11343,485
118775,861
11937,598
12434,60
12793,268
13211,360
13464,224
14727,111
16420,60
18498,701
18545,284
18736,270
19197,151
19704,268
19804,214
20660,485
20700,62
20715,257
20785,360
21133,81
21554,107
21860,218
22605,35
22718,191
22759,396
22866,1237
22910,402
23254,296
23495,57
24258,57
25115,436
25738,31
25852,65
25959,485
26115,32
26515,109
27026,485
27144,598
27500,408
28264,274
28549,994
28836,459
29319,534
29913,71
29952,188
30038,98
30184,752
30242,354
30628,428
30677,133
30721,89
30764,246
33104,107
33573,238
35632,185
36375,598
37268,476
37464,8
38198,8
38625,1010
39085,203
39249,389
39562,220
41029,1522
41338,63
43753,345
44033,494
44842,57
45116,333
45762,443
46231,167
46467,485
47329,94
47525,436
47755,355
48577,144
48599,96
49418,140
50612,17
50743,158
52168,147
53042,617
53666,598
53675,154
54133,437
54646,318
55629,438
56246,59
56284,11
56310,625
56727,241
57138,5
57270,147
57579,133
57589,150
57869,68
58266,169
58272,18
58361,170
58461,96
58684,245
59505,14
59541,102
59615,337
59656,153
59766,195
60200,288
60271,711
60307,199
60478,85
60697,66
60700,111
61058,11
61073,116
61238,253
61706,336
61822,59
61950,111
62196,99
62439,92
62718,189
62798,510
63031,45
63513,131
63575,251
63807,86
63883,29
64003,266
64079,343
64444,132
64452,95
65424,532
65742,140
65791,264
65935,264
65985,378
66016,588
67071,928
67556,38
67646,1124
67690,485
67697,148
67838,107
68100,85
97075,129
98435,86
98942,294
99064,168
99602,1040
