_id,LOC
101473,97
101839,1040
103255,602
103939,64
104974,959
105329,195
105437,164
11356,485
119905,861
12145,598
12845,268
13267,60
14039,360
15272,111
15472,224
19171,60
19975,268
20717,62
20897,360
22284,81
22769,396
23305,485
23572,214
24061,1237
24068,57
24120,191
24508,284
24644,57
24814,151
24897,107
25394,701
27231,598
27711,485
27715,35
27737,31
27757,218
28300,402
29247,485
29380,296
30217,274
30318,65
30543,752
30735,354
31508,436
31546,109
33560,89
33610,188
34249,246
34318,107
34996,428
35974,71
36923,270
37050,185
37574,8
38700,32
38843,408
39119,994
41360,1522
41383,459
41955,133
42576,257
43087,598
45392,333
46784,167
47066,485
48221,57
49455,140
49880,96
50250,494
53624,144
54773,94
55045,318
56271,617
57660,355
58139,68
58165,133
58226,345
58649,625
58894,11
59563,598
59950,337
59975,438
60079,17
61105,443
61240,437
61364,711
61639,195
61717,158
61882,147
62249,111
62621,92
62938,116
63056,189
63060,102
63238,199
63630,153
63643,154
63930,288
64496,96
64523,150
65905,131
66698,336
66705,59
67273,378
67338,532
67671,169
67708,5
68014,147
99679,1040
99752,168
