_id,LOC
101193,1040
101281,97
101473,0
101706,0
101768,0
101839,0
102000,0
102093,0
102168,0
102293,64
102428,0
102601,0
102700,0
102903,0
103045,602
103100,0
103255,0
103291,0
103355,0
103404,164
103624,195
103776,0
103865,0
103913,0
103939,0
104003,0
104062,0
104220,0
104573,0
104648,0
104816,0
104897,959
104974,0
104982,0
105065,0
105102,0
105318,0
105329,0
105437,0
105820,0
105997,0
106093,0
106200,0
106388,0
106514,0
106583,0
106625,0
106683,0
106741,0
106774,0
106805,0
106886,0
106948,0
106961,0
11343,485
11356,0
11776,0
118775,861
11889,0
11937,598
119905,0
12145,0
12272,0
12434,60
12670,0
12793,268
12832,0
12845,0
12926,0
13074,0
13209,0
13211,360
13231,0
13267,0
13269,0
13402,0
13427,0
13464,224
13493,0
13523,0
13531,0
13616,0
13620,0
13656,0
13720,0
13731,0
13851,0
13898,0
13915,0
13943,0
13970,0
13984,0
14017,0
14039,0
14053,0
14072,0
14138,0
14322,0
14363,0
14444,0
14492,0
14556,0
14582,0
14594,0
14636,0
14637,0
14727,111
14748,0
14790,0
14799,0
14839,0
14929,0
14970,0
14994,0
15103,0
15195,0
15198,0
15232,0
15272,0
15290,0
15331,0
15358,0
15367,0
15374,0
15472,0
15606,0
15667,0
15709,0
15877,0
15892,0
15986,0
16000,0
16020,0
16037,0
16188,0
16333,0
16342,0
16420,60
16480,0
16496,0
16528,0
16571,0
16594,0
16642,0
16663,0
16740,0
16746,0
16799,0
16824,0
16959,0
17107,0
17116,0
17140,0
17142,0
17160,0
17228,0
17270,0
17376,0
17540,0
17628,0
17632,0
17655,0
17699,0
17781,0
17784,0
17945,0
18028,0
18062,0
18090,0
18137,0
18257,0
18420,0
18498,701
18545,284
18568,0
18589,0
18590,0
18598,0
18680,0
18701,0
18736,270
18799,0
18821,0
18834,0
18841,0
18971,0
19072,0
19092,0
19095,0
19154,0
19171,0
19177,0
19197,151
19230,0
19316,0
19360,0
19427,0
19486,0
19510,0
19602,0
19704,268
19737,0
19774,0
19804,214
19975,0
20089,0
20123,0
20279,0
20381,0
20386,0
20515,0
20559,0
20619,0
20660,485
20700,62
20715,257
20717,0
20785,360
20787,0
20791,0
20802,0
20841,0
20897,0
20980,0
21016,0
21046,0
21087,0
21123,0
21133,81
21319,0
21380,0
21472,0
21550,0
21554,107
21593,0
21602,0
21614,0
21704,0
21706,0
21738,0
21836,0
21860,218
21875,0
21891,0
21908,0
21973,0
21978,0
22008,0
22042,0
22051,0
22091,0
22120,0
22184,0
22243,0
22246,0
22284,0
22326,0
22332,0
22449,0
22605,35
22633,0
22677,0
22712,0
22718,191
22759,396
22769,0
22866,1237
22910,402
22968,0
22985,0
23035,0
23054,0
23211,0
23254,296
23305,0
23322,0
23326,0
23398,0
23430,0
23459,0
23489,0
23495,57
23558,0
23562,0
23564,0
23572,0
23597,0
23605,0
23625,0
23746,0
23799,0
23872,0
23938,0
23960,0
24061,0
24068,0
24120,0
24128,0
24212,0
24217,0
24243,0
24258,57
24283,0
24315,0
24374,0
24378,0
24391,0
24406,0
24422,0
24432,0
24508,0
24575,0
24644,0
24659,0
24814,0
24897,0
24951,0
25069,0
25092,0
25115,436
25165,0
25203,0
25236,0
25246,0
25281,0
25318,0
25373,0
25394,0
25557,0
25659,0
25695,0
25715,0
25738,31
25763,0
25852,65
25866,0
25902,0
25909,0
25921,0
25931,0
25957,0
25959,485
26040,0
26044,0
26069,0
26115,32
26145,0
26204,0
26247,0
26261,0
26286,0
26348,0
26404,0
26466,0
26515,109
26555,0
26557,0
26595,0
26702,0
26705,0
26831,0
26838,0
26871,0
26885,0
26905,0
26962,0
27013,0
27026,485
27074,0
27144,598
27167,0
27200,0
27231,0
27254,0
27297,0
27331,0
27360,0
27393,0
27418,0
27445,0
27500,408
