_id,LOC
101047,64
101094,1040
101169,97
102753,224
102928,86
102938,602
103197,195
103324,164
103993,103
104471,425
104476,959
104503,2668
104870,129
105169,3996
105227,2750
106450,4601
106609,1040
11292,485
115640,861
116041,540
11817,598
12101,224
12109,60
12726,268
12934,360
13941,111
14819,60
16152,701
16270,81
17278,284
17371,270
17428,57
17512,485
17567,296
17905,214
18189,151
19244,268
19497,360
19953,191
20095,71
20493,218
20506,62
20648,257
21011,396
21107,107
21178,57
21245,436
21253,32
21307,65
21618,35
21869,402
21904,1237
22046,1010
22325,109
23492,598
23748,274
23827,485
24045,408
24250,31
24751,485
26117,459
26396,107
26554,98
26666,428
26670,144
26750,238
26991,185
27036,18
27566,752
27640,534
27822,313
27880,994
28070,133
28373,354
28952,308
28989,598
29038,540
29294,188
29661,246
30357,89
30797,325
30969,174
30989,424
31749,203
31964,29
32395,485
32795,345
32843,85
33065,360
33996,423
34255,8
34344,214
34345,62
34846,28
35520,1522
36312,1077
36594,607
36805,476
36905,99
36951,111
36965,188
37012,112
37155,116
37258,8
37277,127
37743,63
37980,220
38042,389
38424,423
39039,318
39347,318
39767,497
39935,436
40006,588
40285,237
40555,154
40916,409
40935,288
41331,158
41395,403
41441,494
41699,443
41804,479
41974,398
41987,86
42202,443
42204,443
42320,363
42502,843
42559,994
43458,57
44249,153
44510,355
44926,333
44939,167
46324,140
46971,94
47314,111
48164,438
48195,68
48433,96
48645,17
48814,266
49006,193
49454,150
49480,132
49639,253
49741,598
50057,754
50379,158
51109,11
51148,153
51614,11
51639,147
51753,437
51891,195
51895,318
52153,617
52347,154
52473,144
52710,264
52717,625
52742,59
52985,85
53129,17
53475,588
53703,827
54061,241
54584,133
54750,264
54788,52
54934,245
54960,83
55298,510
55592,85
56188,170
56203,102
56325,336
56432,14
56437,96
56664,147
56724,189
57070,5
57088,87
57181,169
57276,928
57319,128
57406,240
57412,116
57673,13
57715,199
57974,140
58075,343
58077,279
58194,288
58473,147
58485,122
58493,313
58663,1106
58699,32
58734,116
59288,131
59374,191
59381,92
59466,337
59611,66
59973,711
60074,59
60255,38
60335,95
60443,148
60490,251
60518,457
60526,270
60801,264
60974,45
61032,119
61085,113
61450,191
62269,92
62293,250
62337,404
62379,72
62408,116
62419,264
62521,86
62582,17
63082,24
63111,378
63190,657
63251,268
63283,62
63370,244
63506,752
63677,265
63702,532
63738,86
64055,264
64069,67
64151,300
64541,268
64583,85
64692,485
64797,296
64860,363
64975,85
65186,20
65244,7
65436,189
65944,54
65957,301
66004,107
66543,1124
66699,487
66942,113
67112,228
67180,73
67251,199
67345,31
67473,664
67665,32
67765,265
67779,90
67789,263
67868,176
67908,162
68133,329
97156,3928
97585,2698
97613,4601
97786,3939
97798,3864
97799,2750
98012,4601
98200,3644
98268,168
98425,3552
98428,3939
98449,3895
98590,63
98682,259
98683,294
98773,3752
98790,92
98983,3754
99102,3752
99180,3945
99241,3976
99573,677
99599,490
99766,54
99813,2748
99849,2750
99908,2745
